City,Cloudiness,Country,Date,Humidity,Lat,Lng,Wind Speed,Max Temp
hermanus,72,ZA,1590103050,96,-34.42,19.23,5.91,54.0
pevek,3,RU,1590103050,95,69.7,170.31,3.33,29.3
dafeng,100,CN,1590102904,88,23.45,108.59,3.89,74.52
punta arenas,100,PH,1590103050,84,8.99,125.34,4.0,79.3
nsanje,0,MW,1590103050,94,-16.92,35.26,1.74,61.84
hamilton,90,US,1590102855,82,39.18,-84.53,5.82,63.0
atuona,27,PF,1590103050,77,-9.8,-139.03,17.85,80.49
pitimbu,20,BR,1590103050,94,-7.47,-34.81,3.36,78.8
chuy,100,UY,1590103050,95,-33.7,-53.46,11.01,62.58
kaa-khem,0,RU,1590103050,40,51.68,94.73,5.95,55.29
aktash,100,RU,1590103050,96,50.3,87.73,6.4,39.94
sragen,87,ID,1590103051,83,-7.43,111.02,3.06,75.69
guilin,75,CN,1590103051,94,25.28,110.29,2.24,69.8
ponta do sol,100,PT,1590103051,80,38.73,-28.27,9.69,54.32
kushmurun,86,KZ,1590103051,95,52.45,64.63,10.02,49.62
luderitz,0,NA,1590103051,77,-26.65,15.16,3.36,62.6
grafton,3,US,1590102815,39,42.21,-71.69,4.0,72.0
geraldton,0,AU,1590103051,57,-28.77,114.6,12.75,50.0
vaitape,18,PF,1590103051,76,-16.52,-151.75,23.06,79.81
vostok,100,RU,1590103051,44,46.49,135.88,1.61,52.74
florianopolis,20,BR,1590103051,88,-27.61,-48.5,11.41,71.6
pascagoula,20,US,1590103051,66,30.37,-88.56,8.05,84.2
naryan-mar,92,RU,1590103052,93,67.67,53.09,10.0,36.18
periyapatti,55,IN,1590103052,76,10.75,77.27,17.81,76.17
haines junction,1,US,1590103052,55,59.23,-135.44,10.29,60.8
druzhba,90,UA,1590103052,87,52.04,33.95,5.48,39.25
grindavik,75,IS,1590103052,100,63.84,-22.43,19.46,46.4
thyboron,97,DK,1590103052,82,56.7,8.21,5.77,55.0
dikson,81,RU,1590103052,96,73.51,80.55,14.97,37.92
usinsk,12,RU,1590103052,76,65.99,57.53,13.06,47.7
ambrolauri,40,GE,1590103052,53,42.52,43.16,9.17,73.4
airai,97,TL,1590103052,100,-8.93,125.41,2.91,63.16
dehloran,0,IR,1590103052,14,32.69,47.27,5.75,91.94
mabaruma,100,GY,1590103052,86,8.2,-59.78,4.65,78.26
nadym,43,RU,1590103052,60,65.53,72.52,14.79,59.2
cabo san lucas,40,BR,1590103052,78,-8.28,-35.03,6.93,82.4
lebu,6,CL,1590103053,74,-37.62,-73.65,4.7,51.49
joensuu,98,FI,1590103053,65,62.6,29.76,4.7,42.01
duku,62,NG,1590103053,48,11.24,4.91,7.54,88.79
itarema,96,BR,1590103053,87,-2.92,-39.92,9.89,78.49
honggang,41,CN,1590103053,64,46.47,124.87,9.98,61.29
ostrovnoy,100,RU,1590103053,88,68.05,39.51,16.93,34.16
komsomolskiy,0,UZ,1590103053,48,40.43,71.72,6.93,62.6
mahebourg,75,MU,1590103053,73,-20.41,57.7,18.34,75.2
vila,96,PT,1590103053,87,42.03,-8.16,2.33,57.0
boiro,100,ES,1590103053,88,42.65,-8.9,7.0,62.01
trairi,51,BR,1590103053,91,-3.28,-39.27,8.08,77.4
batticaloa,99,LK,1590103053,74,7.71,81.69,7.23,82.47
creston,90,US,1590102948,82,41.06,-94.36,10.29,64.4
nhulunbuy,40,AU,1590103053,74,-12.23,136.77,17.22,78.8
upernavik,0,GL,1590103053,94,72.79,-56.15,9.48,31.75
lata,38,PT,1590103053,86,40.16,-8.33,1.43,61.0
kushima,75,JP,1590103053,77,31.46,131.23,4.7,62.6
lensk,3,RU,1590103053,44,60.73,114.93,3.29,55.92
bredasdorp,83,ZA,1590103053,82,-34.53,20.04,3.36,57.2
ucluelet,20,CA,1590103054,62,48.93,-125.55,24.16,59.0
lieksa,67,FI,1590103054,86,63.32,30.02,6.64,35.11
martinho campos,92,BR,1590103054,97,-2.0,-48.65,2.82,75.52
nemuro,20,JP,1590103054,81,43.32,145.57,5.26,40.8
kitui,20,KE,1590103054,98,-1.37,38.01,6.31,60.48
katobu,100,ID,1590103054,96,-4.94,122.53,1.3,75.2
jiancheng,98,CN,1590103054,88,30.39,104.55,4.47,81.0
marzuq,69,YE,1590103054,51,14.4,46.47,3.15,79.99
toamasina,75,MG,1590103054,94,-18.17,49.38,11.41,69.8
pisco,5,PE,1590102830,79,-13.7,-76.22,10.0,66.99
asfi,91,MA,1590103054,75,32.3,-9.24,13.51,68.41
nome,90,US,1590103054,87,64.5,-165.41,13.87,46.4
gornopravdinsk,17,RU,1590103054,87,60.05,69.9,8.9,46.76
new norfolk,60,LR,1590103055,95,6.65,-10.59,0.69,75.78
mar del plata,83,ES,1590103055,93,43.4,-4.01,2.24,66.0
lebedyn,0,UA,1590103055,87,50.59,34.48,5.53,39.74
tungor,100,RU,1590103055,85,53.38,142.96,7.58,38.37
ilhabela,0,BR,1590103055,78,-23.78,-45.36,5.73,70.56
erzin,4,TR,1590103055,52,36.96,36.2,5.82,69.8
port-gentil,20,GA,1590103055,88,-0.72,8.78,5.82,78.8
severo-kurilsk,12,RU,1590103055,74,50.68,156.12,15.75,40.03
viedma,33,AR,1590103055,68,-40.81,-63.0,4.09,48.33
guerrero negro,24,MX,1590103055,21,17.67,-100.0,1.48,91.96
torbay,20,CA,1590103055,57,47.67,-52.73,19.46,52.0
khatanga,77,RU,1590103055,64,71.97,102.5,7.4,57.38
mys shmidta,42,RU,1590103055,86,62.06,48.62,9.93,39.85
richards bay,90,US,1590103055,68,46.84,-95.91,13.87,64.4
singapore,75,SG,1590102818,88,1.29,103.85,1.12,82.4
port lincoln,12,CD,1590103056,66,-7.03,29.76,6.38,72.34
isangel,20,VU,1590103056,73,-19.55,169.27,9.24,73.4
san ramon,29,ML,1590103056,11,13.3,-4.9,5.01,95.45
trincomalee,91,LK,1590103056,76,8.57,81.23,19.98,83.14
iturama,0,BR,1590103056,79,-19.73,-50.2,5.32,70.39
koltubanovskiy,64,RU,1590103056,87,52.94,52.03,4.47,46.8
chestermere,90,CA,1590102843,93,51.03,-113.82,27.51,44.01
caravelas,1,BR,1590103056,89,-17.71,-39.25,6.15,72.36
kathu,40,TH,1590103056,83,7.92,98.33,8.05,82.4
oistins,40,BB,1590103056,78,13.07,-59.53,19.46,82.4
bonavista,88,CA,1590103056,80,48.65,-53.11,1.86,43.29
sistranda,72,NO,1590103056,66,63.73,8.83,8.05,50.0
waingapu,100,ID,1590103056,85,-9.66,120.26,7.31,78.28
sayyan,57,YE,1590103056,58,15.17,44.32,1.79,63.48
sobolevo,68,RU,1590103057,98,54.43,31.9,6.73,33.12
faanui,20,PF,1590103057,78,-16.48,-151.75,23.09,79.0
turukhansk,75,RU,1590103057,50,65.82,87.98,11.65,62.58
longyearbyen,75,SJ,1590103057,94,78.22,15.64,16.11,32.0
bury saint edmunds,100,GB,1590102988,56,53.6,-2.3,5.99,66.0
ngunguru,25,NZ,1590103057,87,-35.62,174.5,5.99,60.01
zhigansk,83,RU,1590103057,79,66.77,123.37,22.84,36.82
cayenne,100,GF,1590103057,100,4.93,-52.33,13.04,78.8
castro,60,BR,1590102972,89,-24.79,-50.01,5.55,59.72
aksarka,8,RU,1590103057,64,66.56,67.8,9.98,55.8
cherskiy,0,RU,1590103057,67,68.75,161.3,6.73,38.88
esperance,0,AU,1590103057,100,-33.87,121.9,12.75,46.4
san quintin,29,ML,1590102905,11,13.3,-4.9,5.01,95.45
sivaki,100,RU,1590103057,71,52.63,126.75,1.59,53.33
saldanha,38,ZA,1590103057,77,-33.01,17.94,1.12,60.8
kharp,38,RU,1590103057,68,66.8,65.81,6.87,53.01
tromso,8,NO,1590103057,74,69.65,18.96,16.11,37.4
dalby,81,AU,1590103057,87,-27.18,151.27,12.75,46.4
chokurdakh,100,RU,1590103058,98,70.63,147.92,8.37,30.87
jagdalpur,26,IN,1590103058,19,19.07,82.03,1.3,73.92
itanhem,49,BR,1590103058,92,-17.17,-40.33,4.5,68.25
wamba,93,NG,1590102922,93,8.93,8.6,1.43,74.37
hualmay,3,PE,1590103058,78,-11.1,-77.61,11.39,65.89
andros town,29,GR,1590103058,71,37.83,24.93,11.99,66.0
taoudenni,0,ML,1590103058,12,22.68,-3.98,8.55,87.31
namibe,0,AO,1590103058,56,-15.2,12.15,1.57,75.96
sorland,79,NO,1590103058,75,67.67,12.69,8.7,41.76
nabire,76,ID,1590103058,80,-3.37,135.48,2.01,81.36
aktau,9,KZ,1590103058,93,43.65,51.2,13.42,59.0
leningradskiy,99,RU,1590103058,97,69.38,178.42,5.17,30.18
weyburn,30,CA,1590103058,25,49.67,-103.85,10.0,78.01
victoria,100,HK,1590103058,89,22.29,114.16,11.01,84.0
hambantota,89,LK,1590103058,77,6.12,81.12,17.76,82.22
takoradi,84,GH,1590103058,82,4.88,-1.76,11.3,80.56
mandurah,0,AU,1590103059,93,-32.55,115.7,1.12,53.01
noumea,20,NC,1590103059,53,-22.28,166.46,4.7,73.99
dakar,20,SN,1590102901,88,14.69,-17.44,11.41,71.6
boffa,0,GN,1590103059,77,10.17,-14.03,3.36,77.81
beringovskiy,100,RU,1590103059,95,63.05,179.32,16.13,30.85
gorontalo,95,ID,1590103059,85,0.54,123.06,1.59,78.39
tarakan,100,ID,1590103059,82,3.3,117.63,7.07,79.79
hauterive,67,FR,1590103059,72,46.09,3.45,2.98,62.6
kalianget,100,ID,1590103059,85,-7.05,113.93,9.17,80.96
sao joao da barra,15,IN,1590103048,47,20.51,76.21,14.92,79.48
chongqing,40,CN,1590103059,94,29.56,106.55,4.47,71.01
sorkjosen,9,NO,1590103059,89,69.8,20.93,8.41,32.23
hasaki,75,JP,1590103059,100,35.73,140.83,11.41,59.0
roald,99,NO,1590103059,66,62.58,6.13,6.93,53.6
nanakuli,75,US,1590103059,65,21.39,-158.15,9.17,84.0
angoche,0,MZ,1590103059,79,-16.23,39.91,7.07,71.02
nurota,0,UZ,1590103060,62,40.56,65.69,6.93,59.0
kalmunai,99,LK,1590103060,78,7.42,81.82,2.59,82.35
shubarkuduk,53,KZ,1590103060,87,49.14,56.49,7.23,54.32
yeppoon,75,AU,1590103060,67,-23.13,150.73,16.11,62.6
cap malheureux,100,FR,1590103060,62,49.27,-1.21,8.05,66.0
souillac,75,MU,1590103060,73,-20.52,57.52,18.34,75.2
talant,64,FR,1590103060,93,47.34,5.01,2.24,60.8
saint-pierre,2,RE,1590103060,73,-21.34,55.48,18.34,71.6
havre-saint-pierre,90,CA,1590103060,87,50.23,-63.6,6.93,46.4
east london,0,IS,1590103060,81,65.0,-15.0,6.93,42.8
buala,43,SB,1590103060,76,-8.14,159.59,9.6,84.81
broadstairs,100,GB,1590103060,61,51.36,1.44,1.01,63.0
montepuez,2,MZ,1590103060,97,-13.13,39.0,6.35,62.02
oktyabrskoye,26,RU,1590103060,88,43.06,44.74,6.71,64.4
gerash,28,IR,1590103060,42,27.67,54.14,2.82,74.5
shubarshi,71,KZ,1590103060,82,48.59,57.19,7.76,54.57
zemio,79,CF,1590103060,95,5.03,25.14,0.69,68.25
russell,20,US,1590103061,58,32.35,-85.2,4.99,82.4
lorengau,32,PG,1590103061,71,-2.02,147.27,5.53,85.53
vila franca do campo,96,PT,1590103061,87,42.03,-8.16,2.33,57.0
mamallapuram,20,IN,1590103061,74,12.63,80.17,9.17,86.0
belyy yar,78,RU,1590103061,95,55.84,32.94,4.9,33.93
hirna,66,ET,1590103061,81,9.22,41.1,7.05,63.09
rengo,20,CL,1590103061,62,-34.42,-70.87,4.7,55.4
ormara,0,PK,1590103061,56,25.21,64.64,15.3,86.02
palizada,20,MX,1590103061,70,18.25,-92.08,11.41,89.6
touros,40,BR,1590103061,94,-5.2,-35.46,3.36,78.8
garoua,97,CM,1590103061,73,9.3,13.4,0.72,78.08
moose factory,75,US,1590103061,49,43.66,-110.72,19.46,51.8
bantou,100,CN,1590103062,90,26.22,117.49,3.15,66.56
lima,75,PE,1590102846,72,-12.04,-77.03,9.17,66.2
akdagmadeni,66,TR,1590103062,44,39.66,35.88,5.12,61.79
binzhou,1,CN,1590103062,61,37.37,118.02,10.76,73.0
preobrazheniye,63,RU,1590103062,63,42.9,133.91,6.46,49.39
bagotville,100,AU,1590103062,62,-28.98,153.42,10.29,55.4
batagay-alyta,88,RU,1590103062,90,67.8,130.41,12.1,30.63
huarmey,3,PE,1590103062,79,-10.07,-78.15,11.21,67.15
mount gambier,97,GB,1590103062,69,53.66,-1.85,4.0,63.0
kamaishi,75,JP,1590103062,100,39.27,141.88,2.24,48.2
novyy khushet,75,RU,1590103062,93,45.01,38.98,6.71,54.0
fallon,75,US,1590103062,9,39.47,-118.78,19.46,78.8
comodoro rivadavia,67,BR,1590103004,95,-13.66,-59.79,4.14,70.32
meadow lake,8,US,1590103062,29,45.53,-102.22,14.85,75.99
yulara,20,AU,1590103062,70,-25.24,130.99,8.05,46.4
jalu,60,LY,1590103063,34,29.03,21.55,12.53,76.84
sandnessjoen,100,NO,1590103063,45,66.02,12.63,3.36,46.4
santiago del estero,20,CL,1590103063,62,-33.46,-70.65,3.22,55.4
pangoa,28,PE,1590103063,79,-12.12,-73.0,1.21,73.76
coos bay,90,US,1590103063,71,43.17,-124.0,13.87,59.0
puerto escondido,93,ES,1590103064,88,36.59,-6.23,2.24,71.01
kabalo,42,CD,1590103064,80,-6.05,26.92,3.11,71.6
yerbogachen,7,RU,1590103064,64,61.28,108.01,5.21,53.98
kaohsiung,75,TW,1590102967,94,22.62,120.31,5.82,78.8
chandbali,80,IN,1590103064,89,20.78,86.77,3.87,82.38
myanaung,100,MM,1590103064,76,18.28,95.32,3.02,81.52
carnarvon,0,AU,1590103065,32,-24.87,113.63,10.67,61.34
nishihara,90,JP,1590103065,94,26.18,127.76,19.46,71.6
saint-joseph,23,RE,1590103065,73,-21.37,55.62,18.34,71.6
maniitsoq,100,GL,1590103065,97,65.42,-52.9,11.72,33.87
rawson,0,AR,1590103066,50,-43.3,-65.1,4.76,50.97
baghdad,0,IQ,1590103066,39,33.34,44.4,3.36,78.8
ulladulla,82,AU,1590103066,71,-35.35,150.47,10.29,53.01
west freehold,40,US,1590103066,52,31.8,-97.09,13.87,89.6
honningsvag,14,NO,1590103029,78,70.98,25.97,10.4,38.84
ornskoldsvik,0,SE,1590103066,80,63.29,18.72,3.36,30.2
bambous virieux,75,MU,1590103066,73,-20.26,57.41,18.34,75.2
klaksvik,8,FO,1590103066,93,62.23,-6.59,3.36,44.6
magistralnyy,0,RU,1590103066,45,56.17,107.45,9.26,53.13
lukovetskiy,90,RU,1590103066,74,64.3,41.92,8.95,35.6
gedo,100,ET,1590103067,100,9.02,37.45,1.25,54.46
yaan,87,NG,1590103067,90,7.38,8.57,9.17,75.25
alice springs,1,US,1590103067,62,27.75,-98.07,16.11,91.4
okhotsk,0,RU,1590103067,52,59.38,143.3,3.69,48.47
nanlong,100,CN,1590103067,81,31.35,106.06,5.39,71.55
halifax,68,CA,1590102879,48,44.65,-63.57,1.99,66.0
half moon bay,75,LR,1590103067,89,6.38,-10.7,2.21,78.51
bilma,0,NE,1590103067,22,18.69,12.92,11.21,90.55
djibo,3,BF,1590103067,10,14.1,-1.63,12.44,93.65
liverpool,100,GB,1590103065,55,53.41,-2.98,11.41,66.2
teguldet,7,RU,1590103067,61,57.31,88.17,4.45,55.51
puerto lempira,93,ES,1590103042,88,36.59,-6.23,2.24,71.01
matamoros,40,MX,1590103067,11,25.53,-103.25,10.29,96.8
kutum,54,SD,1590103067,50,14.2,24.67,4.88,71.49
sinazongwe,0,ZM,1590103067,58,-17.26,27.46,4.36,64.67
port elizabeth,12,CD,1590103056,66,-7.03,29.76,6.38,72.34
svetlogorsk,99,BY,1590103068,91,52.63,29.73,9.13,37.62
luau,29,AO,1590103068,62,-10.71,22.22,4.88,61.66
soure,62,BR,1590103068,82,-0.72,-48.52,10.13,81.12
hovd,98,MN,1590103068,41,48.01,91.64,3.13,62.56
ambulu,97,ID,1590103068,86,-8.35,113.61,2.46,76.41
evensk,100,RU,1590103068,59,61.95,159.23,1.57,44.6
warburg,30,DE,1590103068,62,51.5,9.17,4.43,62.01
tura,100,IN,1590103068,99,25.52,90.22,3.58,71.96
makakilo city,75,US,1590103068,65,21.35,-158.09,9.17,84.0
ust-nera,32,RU,1590103068,55,64.57,143.2,6.06,44.94
bubaque,0,GW,1590103068,76,11.28,-15.83,17.27,78.62
mayumba,34,GA,1590103068,87,-3.43,10.66,3.09,77.29
mehamn,27,NO,1590103069,85,71.04,27.85,11.81,36.75
dubbo,18,AU,1590102923,76,-32.25,148.62,11.41,48.2
oga,43,IT,1590103069,86,46.46,10.35,2.24,53.6
neuquen,20,AR,1590103069,61,-38.95,-68.06,2.24,50.0
najran,30,SA,1590103069,57,17.49,44.13,7.7,77.0
beisfjord,1,NO,1590103069,74,68.38,17.6,6.93,33.8
pindiga,100,NG,1590103069,61,9.98,10.93,4.43,76.71
college,75,US,1590103069,28,64.86,-147.8,4.7,69.01
eravur,99,LK,1590103069,71,7.77,81.61,7.45,82.26
vardo,45,NO,1590103069,81,70.37,31.11,11.5,38.21
saint-michel-des-saints,87,CA,1590103069,42,46.68,-73.92,7.94,68.59
ribeira grande,75,ES,1590103069,93,42.75,-8.44,8.05,62.01
promyshlennaya,90,RU,1590103070,100,54.92,85.64,8.95,55.4
bardiyah,70,LY,1590103070,77,31.76,25.09,8.16,68.31
tegh,31,AM,1590103070,52,39.56,46.48,7.99,58.17
waitara,7,NZ,1590103070,66,-38.92,174.25,5.99,48.0
khudumelapye,0,BW,1590103070,56,-23.88,24.75,6.71,53.89
pribor,6,CZ,1590103070,75,49.64,18.14,1.12,42.01
ponta delgada,100,PT,1590103070,80,38.73,-28.27,9.69,54.32
beni suef,92,CD,1590103070,100,0.5,29.47,1.45,62.62
anloga,20,GH,1590103070,83,5.79,0.9,12.75,84.2
honiara,40,SB,1590103070,66,-9.43,159.95,6.15,86.0
san francisco,29,ML,1590103056,11,13.3,-4.9,5.01,95.45
stornoway,97,GB,1590103070,81,58.21,-6.39,10.29,51.8
jacareacanga,97,BR,1590102956,82,-6.22,-57.75,1.19,78.12
bancal,98,PH,1590103070,78,11.56,123.16,8.3,84.13
saint-francois,73,FR,1590103070,82,46.42,3.91,3.33,59.0
iskateley,90,RU,1590103071,93,67.68,53.15,9.73,36.1
ifanadiana,86,MG,1590103071,94,-21.3,47.63,0.72,60.69
mahibadhoo,100,MV,1590103071,77,3.78,72.97,22.84,83.8
hurghada,1,EG,1590103071,54,27.26,33.81,4.7,84.2
krasnyy kut,54,RU,1590103071,97,54.57,31.43,7.05,35.98
benguela,0,AO,1590103071,80,-12.58,13.41,2.33,74.64
manjacaze,0,MZ,1590103071,94,-24.71,33.88,1.36,63.21
asau,96,RO,1590103071,71,46.43,26.4,6.93,50.0
fare,9,PF,1590103071,76,-16.7,-151.02,22.59,79.75
pirpirituba,22,BR,1590103071,91,-6.78,-35.5,6.4,74.12
traun,75,AT,1590103071,58,48.23,14.23,6.93,59.0
storforshei,54,NO,1590103071,74,66.4,14.52,4.54,36.0
peniche,39,PT,1590103071,87,39.36,-9.38,4.0,60.01
dustlik,4,UZ,1590103071,47,40.52,68.04,3.89,63.63
buraydah,0,SA,1590103072,24,26.33,43.98,4.7,78.8
griffith,90,US,1590103072,77,41.53,-87.42,6.71,66.0
narsaq,100,GL,1590103072,60,60.92,-46.05,11.41,41.0
sitka,40,US,1590103072,62,57.05,-135.33,12.75,55.4
christchurch,93,NZ,1590103072,45,-43.53,172.63,5.82,62.6
port blair,12,CD,1590103072,66,-7.03,29.76,6.38,72.34
kamalpur,98,IN,1590103072,72,24.2,91.83,6.8,79.03
jiangyou,100,CN,1590103072,56,31.77,104.72,3.38,72.59
haifa,1,IL,1590103072,39,32.82,34.99,2.95,79.68
jiuquan,26,CN,1590103072,39,39.74,98.52,10.38,65.44
camacha,40,PT,1590103072,82,33.08,-16.33,8.05,64.4
marawi,100,PH,1590103072,91,8.0,124.29,1.01,79.0
santa cruz,100,PH,1590103072,77,17.49,120.43,4.05,82.42
guadalajara,5,MX,1590102797,12,20.67,-103.33,13.87,90.0
maceio,40,BR,1590103072,94,-9.67,-35.74,4.7,77.0
portland,75,US,1590102774,71,45.52,-122.68,11.41,60.01
panguna,24,PG,1590103073,74,-6.32,155.48,3.13,80.28
bulaevo,54,KZ,1590103073,74,54.91,70.44,11.97,51.69
pachino,1,IT,1590103073,83,36.72,15.09,4.54,63.0
estelle,75,US,1590103073,62,29.85,-90.11,11.41,89.6
aitape,2,PG,1590103073,67,-3.14,142.35,1.39,84.31
avera,90,US,1590103073,57,33.19,-82.53,3.36,78.8
yarkovo,30,RU,1590103073,89,57.4,67.08,8.3,46.02
tabou,31,CI,1590103073,84,4.42,-7.35,7.99,79.61
zabid,54,YE,1590103073,37,14.2,43.32,3.6,92.39
kalengwa,0,ZM,1590103073,76,-13.47,25.0,4.74,53.58
virginia beach,90,US,1590102804,88,37.55,-77.45,10.29,64.99
priiskovyy,100,RU,1590103073,69,51.93,116.63,13.47,52.02
robinson,40,US,1590103073,52,31.47,-97.11,18.34,91.4
hofn,1,IS,1590103073,89,64.25,-15.21,1.81,46.56
isoka,28,ZM,1590103074,96,-10.16,32.63,1.25,55.2
bismarck,20,US,1590102804,39,46.81,-100.78,21.92,78.8
bloomingdale,1,US,1590103074,62,27.89,-82.24,4.7,89.6
salinopolis,94,BR,1590103074,83,-0.61,-47.36,9.57,80.62
bayji,0,IQ,1590103074,13,34.93,43.49,4.45,87.01
fort nelson,79,NL,1590103074,62,52.65,6.39,7.76,66.0
guia lopes da laguna,40,ES,1590103074,68,28.14,-15.63,25.28,66.99
